job_id,max_salary,med_salary,min_salary,location
3690835135,,,,Greater Pittsburgh Region
3690835330,,,,"Charlottesville, VA"
3690836590,112372.0,,83433.0,"Oswego, NY"
3690836861,,,,"Chicago, IL"
3690837484,50000.0,,50000.0,"Atlanta, GA"
3690838132,,,,Greater Pittsburgh Region
3690840013,,,,"Palm Beach, FL"
3690840360,,,,"Bradenton, FL"
3690840799,85000.0,,65000.0,"New York, NY"
3690841034,112372.0,,83433.0,"Mexico, NY"
3690841300,60000.0,,50000.0,"Glastonbury, CT"
3690841406,110000.0,,100000.0,"Quantico, VA"
3690841515,,,,"Queens, NY"
3690841533,,,,"Sheboygan, WI"
3690841599,,,,"Randolph, NJ"
3690842485,100000.0,,70000.0,United States
3690843087,65000.0,,55000.0,"Norwood, MA"
3690843414,145000.0,,95000.0,"Arlington, MA"
3690844311,,,,"Farmingdale, NY"
3690844336,120000.0,,110000.0,"Washington, DC"
3690844811,,,,"Augusta, GA"
3690844895,,,,Washington DC-Baltimore Area
3690846882,275000.0,,200000.0,"West Nyack, NY"
3690847441,,,,"Norfolk, VA"
3690849028,65000.0,,45000.0,"Boca Raton, FL"
3690849145,300000.0,,250000.0,"Arlington, MA"
3690849528,,,,"Plattsburgh, NY"
3690849991,,,,"New Castle, DE"
3690850853,125000.0,,100000.0,"Libertyville, IL"
3690851117,65000.0,,45000.0,"New York, NY"
3690853209,20.0,,18.0,"Brooklyn, NY"
3690857635,,,,Greater Milwaukee
3690859113,,,,"Bethesda, MD"
3690859360,21.0,,20.0,"College Park, MD"
3690860158,75000.0,,65000.0,"Devon, PA"
3690865969,,,,"Winter Park, FL"
3690867240,48.0,,40.0,"Manassas, VA"
3690867559,,,,"Naples, FL"
3690868912,,,,"Fulton, NY"
3690868934,,,,"Somerset, NJ"
3690869468,,,,"Dallas, TX"
3690869667,,,,"Miami, FL"
3690870151,115000.0,,89949.0,"Silverdale, WA"
3690870383,115000.0,,89949.0,San Francisco Bay Area
3690870497,,,,"Daytona Beach, FL"
3690870668,,,,"Marshalltown, IA"
3690871224,,,,"Eden Prairie, MN"
3690875253,,,,"Columbus, OH"
3690876465,,,,"Omaha, NE"
3690882678,,,,"Pensacola, FL"
3690885518,,,,"New York, NY"
3690888827,,,,"New York, NY"
3691763971,,,,Rocky Mount-Wilson Area
3691775263,,,,"Westmont, IL"
3691779379,,,,Detroit Metropolitan Area
3691786992,,,,"Milwaukee, WI"
3691789797,,,,"Elgin, TX"
3691789919,,,,"St Paul, MN"
3691792844,,,,"Old Fort, NC"
3691793575,,,,"Murray, UT"
3691794313,22.0,,19.0,"Arkansas, United States"
3691795305,,,,"Indianapolis, IN"
3691795389,70000.0,,68000.0,"Portland, OR"
3691795980,,,,United States
3691796226,,,,"West Valley City, UT"
3691797089,22.0,,18.0,"Columbus, OH"
3691797249,26.0,,21.0,"Highlands Ranch, CO"
3691797924,,,,"Orange County, CA"
